owner,count
0x56d7303fb0d0781c2fbef962d7f9461bf416916f,40
0x869812c931fb25590c4ef8995105c43215f06601,40
0xc4cd14a15a94be727af253335abafd6b6f411acd,24
0x6266dbb2d202d4e246ee86d76bb2fbb9a71eafcd,21
0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,18
0x171446b041c6683e5f138b8a3f263bbffb8ee74a,17
0x75acfe484b40425cc9aac1871458d498b4074adc,16
0xfb7ad45df71dc18237fc30f2e4654e733d4503c3,16
0x4ed09019fabeecaa855ebf35e59acf28a30ca639,15
0xcfd648eb66b736351f48dbd5a1752708371c10f4,15
0x6853a596d6d7264d3622546da3b891b6fe17eb82,14
0xe36b14f7a3fd29ac8befa667804d7dc0070d9177,14
0xe8e01e71d18f838b13e8f6fa250ee0e4bed6b877,14
0x10752ae123f8f65ee7609b336c77bb941c584bba,13
0xe72eb31b59f85b19499a0f3b3260011894fa0d65,13
0x48aa71836bc3ec2ba97c61d7ef744b4240e0ed8a,12
0x588115a13c2192ecd555dd7e56dacce137df41bf,12
0x4ec89ba6558ef10b3435246de77aa3bf8f2ba745,11
0x77da0bd38461d28ee1299dba1343288cbe113ab3,11
0x32044b9d572d61602eeb3b6af5c7bfcdb8bb8c32,10
0xf4b465db2f7e39e702324225be51ee60f0f5796a,8
0xfb843f8c4992efdb6b42349c35f025ca55742d33,8
0x0243bedb3e2d8e174f8bdb2a868f034190b1b290,7
0x61b50a74376a9cd1dabf20bc922017441f9f8267,7
0x799b27750e06d18fc9b2510e9d2201fc8a5d011b,7
0x83c82dad96a76aa65afd58ae11e4c01109a353e5,7
0xa5f2bb90ae6a16486d7d33d2a8a654da93fc70cf,7
0xbb7b86161d49a62dc0fb9f5124500c7384dd1339,7
0x1f9dc10500f1cf5c9d553ac44d487de3048c24d6,6
0x402b318f8288a1479b8d22f75f16d3721581eeef,6
0x7cc4e967242e1cad92152d47ae0bb9169e97d553,6
0xc480c3fd10d8965eb74b9b53ee65bea24b2a6a73,6
0xd0daddf983fce88bef3f10fc12280d0f0cd1208c,6
0xf06bed3f0dad7932d8d00fe48c36751f5c10be23,6
0x610b75adad4e5acbb422bf33cdffb4e323309153,5
0x625d6405dcac9c82f4b681a131d9182115448f75,5
0x62f8cff0bc5e347f350ef7724d74a42a57f7b7fa,5
0x63b7d0006102e672e6936fcfe6197e4c782f51d4,5
0x648a984003798b4735c198eebb81a78d546ce24c,5
0x74f51484484252d44d74cbc6d3e0380b6939bfcf,5
0x7c7216f16e81f2cf68269a2e3c24b4123b3da2c2,5
0xa5e5d3afe7daf372972559c7fa3b75cb7a4ae0d7,5
0xbcf973d359d70e220d2d38dc66c9dfe41a3bed77,5
0xd13c2691e0715efc6070f48242bf4317c84884f1,5
0xd874f397202b032e2611cf999ff737da419233e9,5
0xd9803ae60c4b40504151bed27b7e5f6b217d3717,5
0xe11a519c7572847bddafb2e70e34d0476a1c6387,5
0xfbe14f82bc91ef474d511400b62dc2bc13e86dba,5
0x05897e0d012d3d4335b9a6bd2981927ef70c27a5,4
0x1bfa67e694e8d450c7512eb54d1acf661d460a2b,4
0x1ccd2496090c53687572edc2b62c3b58b6799bbd,4
0x2a6d66c327d20fe6a0788b3cc0ba4da09e0dc54d,4
0x428ca525839b7c015ffb985700c8a8b37ed79756,4
0x4f1f761bc89abf7b003568f2a5ba97667103ff5f,4
0x51360d99966724b2603182cc367ab9621d96eed2,4
0x514c9c0f1bc120f57183bfe4ae092ff0be13a31f,4
0x5a084aaef5eddd9195f28f6fe056785e01f210eb,4
0x5ab0e4e355b08e692933c1f6f85fd0be56ad18a6,4
0x6135bf26b13ea67b63a10ec2074be03000c18a8a,4
0x6a167abe38959433aaaa984b3d50761ac60ee875,4
0x6fcf21345566887478cda171de63ab0066d2d33f,4
0x7e5507281f62c0f8d666beaea212751cd88994b8,4
0x806f0799cb7d8a822cf6792dfde12bcc4f5d6ea8,4
0x9891529a510389712e215566abf9f10fa0786014,4
0xa46128894419058f48089e5c9eb7cf6a8a932a80,4
0xa722c900ab1a6b85606dc7502f3bd88b85c79766,4
0xba0995c52474dfb7c48181f71454a63a2847982c,4
0xc4b5bdc3b6d27a2e1c618498d3cbfd97358b2a3f,4
0xc8de9ae0ec64f60e59244c5fc51f9b4a24d5fbdb,4
0xe29b7fb40150ea4b7cbc2f22e3acfa67a8da021a,4
0xe893b92fe428916931cea98fd9fa734e4688dd0a,4
0xe9bec796bb6b91d532a98f2fbbc7905dd6ca9f6c,4
0x01ac84081621568230be12b4276b92d07d584433,3
0x03299cc26ba3c3ee6696b718695e0b46fbac5daf,3
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,3
0x08f8394ada780779190793122e095a8ffa6e6376,3
0x16b0d1368146939e5c8f8e574f09f175baec5996,3
0x17df4e3fcf2feec8103133a18946f82792c20c90,3
0x19cabab0e12d65a7703f97b207e7a10a9f30810e,3
0x1cf82438699503567fa12d41ce80e92ca0a8aef7,3
0x1ecfe83ab784373782e703e41562e3b9052734f3,3
0x249d406f1f7cd663ede9264187e5a2d6ee05c8ea,3
0x26a9bd296785e7b2a5a2c7d2d4c9dbf99e27f340,3
0x26fde1f19c3e646b47d3fbffd3eb00e9053b8c0d,3
