LAST_ACTIVITY_BLOCK,LAST_ACTIVITY_BLOCK_TIMESTAMP,USER_ADDRESS,CONTRACT_ADDRESS,CURRENT_BAL_UNADJ,CURRENT_BAL,USD_VALUE_LAST_ACTIVITY,USD_VALUE_NOW,SYMBOL,TOKEN_NAME,DECIMALS,HAS_DECIMAL,HAS_PRICE,LAST_RECORDED_PRICE,ROWNUMBER,BALANCE
18068251,2023-09-05 05:40:23.000,0x869812c931fb25590c4ef8995105c43215f06601,0xccccccccc9507ce17987409cc8c598733ba9b670,25,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,25
17947299,2023-08-19 07:21:11.000,0xc4cd14a15a94be727af253335abafd6b6f411acd,0xccccccccc9507ce17987409cc8c598733ba9b670,24,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,24
17949738,2023-08-19 15:33:35.000,0x6266dbb2d202d4e246ee86d76bb2fbb9a71eafcd,0xccccccccc9507ce17987409cc8c598733ba9b670,21,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,21
18107764,2023-09-10 18:28:35.000,0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596,0xccccccccc9507ce17987409cc8c598733ba9b670,18,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,18
18015080,2023-08-28 19:00:11.000,0x171446b041c6683e5f138b8a3f263bbffb8ee74a,0xccccccccc9507ce17987409cc8c598733ba9b670,17,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,17
17967014,2023-08-22 01:36:11.000,0x75acfe484b40425cc9aac1871458d498b4074adc,0xccccccccc9507ce17987409cc8c598733ba9b670,16,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,16
18015257,2023-08-28 19:35:35.000,0xfb7ad45df71dc18237fc30f2e4654e733d4503c3,0xccccccccc9507ce17987409cc8c598733ba9b670,16,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,16
17978906,2023-08-23 17:29:35.000,0xcfd648eb66b736351f48dbd5a1752708371c10f4,0xccccccccc9507ce17987409cc8c598733ba9b670,15,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,15
18024805,2023-08-30 03:41:23.000,0x4ed09019fabeecaa855ebf35e59acf28a30ca639,0xccccccccc9507ce17987409cc8c598733ba9b670,15,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,15
18015042,2023-08-28 18:52:35.000,0xe8e01e71d18f838b13e8f6fa250ee0e4bed6b877,0xccccccccc9507ce17987409cc8c598733ba9b670,14,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,14
17959718,2023-08-21 01:06:11.000,0xe72eb31b59f85b19499a0f3b3260011894fa0d65,0xccccccccc9507ce17987409cc8c598733ba9b670,13,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,13
18015098,2023-08-28 19:03:47.000,0x10752ae123f8f65ee7609b336c77bb941c584bba,0xccccccccc9507ce17987409cc8c598733ba9b670,13,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,13
18030794,2023-08-30 23:50:35.000,0x48aa71836bc3ec2ba97c61d7ef744b4240e0ed8a,0xccccccccc9507ce17987409cc8c598733ba9b670,12,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,12
18016463,2023-08-28 23:37:59.000,0x588115a13c2192ecd555dd7e56dacce137df41bf,0xccccccccc9507ce17987409cc8c598733ba9b670,12,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,12
17970784,2023-08-22 14:15:23.000,0x77da0bd38461d28ee1299dba1343288cbe113ab3,0xccccccccc9507ce17987409cc8c598733ba9b670,11,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,11
18015083,2023-08-28 19:00:47.000,0x4ec89ba6558ef10b3435246de77aa3bf8f2ba745,0xccccccccc9507ce17987409cc8c598733ba9b670,11,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,11
17938993,2023-08-18 03:26:35.000,0x56d7303fb0d0781c2fbef962d7f9461bf416916f,0xccccccccc9507ce17987409cc8c598733ba9b670,10,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,10
18125143,2023-09-13 04:56:23.000,0xf4b465db2f7e39e702324225be51ee60f0f5796a,0xccccccccc9507ce17987409cc8c598733ba9b670,8,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,8
18015071,2023-08-28 18:58:23.000,0x61b50a74376a9cd1dabf20bc922017441f9f8267,0xccccccccc9507ce17987409cc8c598733ba9b670,7,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,7
17978049,2023-08-23 14:37:23.000,0xa5f2bb90ae6a16486d7d33d2a8a654da93fc70cf,0xccccccccc9507ce17987409cc8c598733ba9b670,7,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,7
17950015,2023-08-19 16:29:35.000,0x0243bedb3e2d8e174f8bdb2a868f034190b1b290,0xccccccccc9507ce17987409cc8c598733ba9b670,7,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,7
18016757,2023-08-29 00:36:47.000,0x83c82dad96a76aa65afd58ae11e4c01109a353e5,0xccccccccc9507ce17987409cc8c598733ba9b670,7,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,7
17948188,2023-08-19 10:20:47.000,0x799b27750e06d18fc9b2510e9d2201fc8a5d011b,0xccccccccc9507ce17987409cc8c598733ba9b670,7,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,7
18016567,2023-08-28 23:58:47.000,0xd0daddf983fce88bef3f10fc12280d0f0cd1208c,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
17947241,2023-08-19 07:09:23.000,0x1f9dc10500f1cf5c9d553ac44d487de3048c24d6,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
17949197,2023-08-19 13:44:35.000,0xfb843f8c4992efdb6b42349c35f025ca55742d33,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
17999800,2023-08-26 15:41:23.000,0x7cc4e967242e1cad92152d47ae0bb9169e97d553,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
18047898,2023-09-02 09:20:11.000,0x402b318f8288a1479b8d22f75f16d3721581eeef,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
18017917,2023-08-29 04:31:59.000,0xc480c3fd10d8965eb74b9b53ee65bea24b2a6a73,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
17947299,2023-08-19 07:21:11.000,0xf06bed3f0dad7932d8d00fe48c36751f5c10be23,0xccccccccc9507ce17987409cc8c598733ba9b670,6,"null","null","null",COIN,Coin by Jan Robert Leegte,"null",false,false,"null",1,6
